TEAM,DATE,OPPONENT,HOME(D)/AWAY(W),RESULT,WIN(W)/LOST(P),PTS,2PM,2PA,2P%,3PM,3PA,3P%,SM,SA,S%,FTM,FTA,FT%,OREB,DREB,TREB,AST,PF,FF,TOV,STL,BLK,RBLK,EVAL,YEAR
Elektrobud-Investment ZB Pruszków,2017-12-06 18:00:00,Enea Astoria Bydgoszcz,W,75:82,W,82,19,41,46.3,8,20,40.0,27,61,44.3,20,26,76.9,7,29,36,27,15,20,14,6,6,5,103,2017/2018
Elektrobud-Investment ZB Pruszków,2017-12-10 17:00:00,Polfarmex Kutno,D,55:86,P,55,20,35,57.1,3,17,17.6,23,52,44.2,6,10,60.0,3,15,18,7,18,18,17,5,2,3,37,2017/2018
Elektrobud-Investment ZB Pruszków,2017-12-16 17:00:00,Zetkama Doral Nysa Kłodzko,W,76:66,P,66,19,34,55.9,8,21,38.1,27,55,49.1,4,11,36.4,11,19,30,20,15,10,15,4,3,0,73,2017/2018
Elektrobud-Investment ZB Pruszków,2017-12-22 19:00:00,KK Warszawa,D,80:46,W,80,22,40,55.0,10,24,41.7,32,64,50.0,6,9,66.7,9,33,42,18,17,13,15,11,8,1,109,2017/2018
Elektrobud-Investment ZB Pruszków,2018-01-06 18:00:00,Spójnia Stargard,D,79:103,P,79,21,37,56.8,7,22,31.8,28,59,47.5,16,19,84.2,6,19,25,18,23,17,15,6,1,2,80,2017/2018
Elektrobud-Investment ZB Pruszków,2018-01-13 18:00:00,KSK Noteć Inowrocław,W,65:91,W,91,21,33,63.6,14,26,53.8,35,59,59.3,7,11,63.6,5,25,30,26,19,17,19,8,2,1,110,2017/2018
Elektrobud-Investment ZB Pruszków,2018-01-20 18:00:00,Siarka Tarnobrzeg,D,84:75,W,84,26,46,56.5,5,22,22.7,31,68,45.6,17,27,63.0,13,36,49,18,20,24,17,9,6,4,102,2017/2018
Elektrobud-Investment ZB Pruszków,2018-01-27 17:30:00,Pogoń Prudnik,W,67:83,W,83,16,38,42.1,11,20,55.0,27,58,46.6,18,28,64.3,10,26,36,20,22,22,11,7,2,2,96,2017/2018
Elektrobud-Investment ZB Pruszków,2018-01-31 19:00:00,Energa Kotwica Kołobrzeg,D,88:81,W,88,15,29,51.7,15,35,42.9,30,64,46.9,13,18,72.2,16,27,43,17,20,21,21,9,5,1,102,2017/2018
Elektrobud-Investment ZB Pruszków,2018-02-04 17:00:00,Biofarm Basket Poznań,D,88:90,P,88,26,45,57.8,7,22,31.8,33,67,49.3,15,17,88.2,14,18,32,22,21,19,14,6,3,5,101,2017/2018
Elektrobud-Investment ZB Pruszków,2018-02-10 18:00:00,SKK Siedlce,D,80:71,W,80,17,33,51.5,10,25,40.0,27,58,46.6,16,21,76.2,11,30,41,18,20,19,19,8,4,1,96,2017/2018
Elektrobud-Investment ZB Pruszków,2018-02-17 18:00:00,GKS Tychy,W,104:97,P,97,23,30,76.7,9,21,42.9,32,51,62.7,24,28,85.7,1,26,27,15,31,26,20,6,2,0,104,2017/2018
Elektrobud-Investment ZB Pruszków,2018-02-21 19:00:00,Jamalex Polonia 1912 Leszno,D,76:68,W,76,18,32,56.3,6,28,21.4,24,60,40.0,22,25,88.0,9,28,37,17,23,23,16,5,2,0,82,2017/2018
Elektrobud-Investment ZB Pruszków,2018-03-03 17:00:00,R8 Basket AZS Politechnika Kraków,W,83:58,P,58,18,35,51.4,4,16,25.0,22,51,43.1,10,20,50.0,4,24,28,14,14,18,14,4,3,2,54,2017/2018
Elektrobud-Investment ZB Pruszków,2018-03-11 17:00:00,Sokół Łańcut,D,83:73,W,83,21,33,63.6,10,22,45.5,31,55,56.4,11,13,84.6,5,30,35,19,23,19,21,7,3,1,100,2017/2018
Elektrobud-Investment ZB Pruszków,2018-03-18 18:30:00,WKS Śląsk Wrocław,W,82:81,P,81,22,46,47.8,5,17,29.4,27,63,42.9,22,27,81.5,6,24,30,8,19,23,14,9,0,7,73,2017/2018
Elektrobud-Investment ZB Pruszków,2018-03-21 20:00:00,Enea Astoria Bydgoszcz,D,85:69,W,85,21,41,51.2,9,18,50.0,30,59,50.8,16,26,61.5,12,27,39,19,23,22,26,13,2,2,93,2017/2018
Elektrobud-Investment ZB Pruszków,2018-03-24 17:30:00,Polfarmex Kutno,W,95:88,P,88,25,42,59.5,8,26,30.8,33,68,48.5,14,21,66.7,12,22,34,16,16,20,12,6,1,5,91,2017/2018
Elektrobud-Investment ZB Pruszków,2018-03-31 16:00:00,Zetkama Doral Nysa Kłodzko,D,63:61,W,63,18,37,48.6,5,18,27.8,23,55,41.8,12,15,80.0,10,23,33,12,16,17,21,9,4,2,65,2017/2018
Elektrobud-Investment ZB Pruszków,2018-04-08 18:00:00,KK Warszawa,W,63:75,W,75,18,33,54.5,7,23,30.4,25,56,44.6,18,19,94.7,8,29,37,14,21,14,17,6,6,2,89,2017/2018
Elektrobud-Investment ZB Pruszków,2018-04-14 18:30:00,Jamalex Polonia 1912 Leszno,W,81:65,P,65,13,37,35.1,9,15,60.0,22,52,42.3,12,15,80.0,7,22,29,14,17,16,16,5,3,4,67,2017/2018
Elektrobud-Investment ZB Pruszków,2018-04-15 16:00:00,Jamalex Polonia 1912 Leszno,W,60:71,W,71,24,44,54.5,2,19,10.5,26,63,41.3,17,23,73.9,8,33,41,11,21,26,23,8,6,1,71,2017/2018
Elektrobud-Investment ZB Pruszków,2018-04-21 18:00:00,Jamalex Polonia 1912 Leszno,D,65:73,P,65,12,28,42.9,5,22,22.7,17,50,34.0,26,33,78.8,10,28,38,13,23,22,17,8,1,1,68,2017/2018
Elektrobud-Investment ZB Pruszków,2018-04-22 17:00:00,Jamalex Polonia 1912 Leszno,D,60:66,P,60,18,32,56.3,6,25,24.0,24,57,42.1,6,10,60.0,6,25,31,10,17,17,13,1,3,0,55,2017/2018
Enea Astoria Bydgoszcz,2017-10-01 17:00:00,Polfarmex Kutno,D,62:73,P,62,19,38,50.0,5,19,26.3,24,57,42.1,9,10,90.0,8,32,40,14,26,16,20,6,3,1,71,2017/2018
Enea Astoria Bydgoszcz,2017-10-07 17:00:00,Zetkama Doral Nysa Kłodzko,W,79:98,W,98,30,48,62.5,8,17,47.1,38,65,58.5,14,20,70.0,9,27,36,21,22,26,13,5,1,3,115,2017/2018
Enea Astoria Bydgoszcz,2017-10-15 19:00:00,KK Warszawa,W,76:86,W,86,26,47,55.3,5,11,45.5,31,58,53.4,19,27,70.4,9,24,33,16,15,24,15,13,1,3,99,2017/2018
Enea Astoria Bydgoszcz,2017-10-18 18:00:00,Spójnia Stargard,W,89:84,P,84,28,54,51.9,6,18,33.3,34,72,47.2,10,17,58.8,11,26,37,13,16,18,14,9,2,6,86,2017/2018
Enea Astoria Bydgoszcz,2017-10-21 17:00:00,KSK Noteć Inowrocław,D,118:61,W,118,36,53,67.9,7,21,33.3,43,74,58.1,25,31,80.6,13,29,42,20,22,28,9,17,3,1,154,2017/2018
Enea Astoria Bydgoszcz,2017-10-28 18:30:00,Siarka Tarnobrzeg,W,77:68,P,68,20,55,36.4,3,13,23.1,23,68,33.8,19,30,63.3,14,29,43,8,22,23,16,10,1,6,58,2017/2018
Enea Astoria Bydgoszcz,2017-11-04 18:00:00,Pogoń Prudnik,D,101:69,W,101,33,56,58.9,5,14,35.7,38,70,54.3,20,24,83.3,9,29,38,28,19,26,10,9,4,3,134,2017/2018
Enea Astoria Bydgoszcz,2017-11-08 19:00:00,Energa Kotwica Kołobrzeg,W,83:80,P,80,21,49,42.9,6,14,42.9,27,63,42.9,20,31,64.5,17,28,45,12,23,24,21,9,0,3,78,2017/2018
Enea Astoria Bydgoszcz,2017-11-12 17:00:00,Biofarm Basket Poznań,D,69:68,W,69,20,44,45.5,6,22,27.3,26,66,39.4,11,19,57.9,15,23,38,17,21,18,14,7,3,2,72,2017/2018
Enea Astoria Bydgoszcz,2017-11-18 18:00:00,SKK Siedlce,W,85:79,P,79,24,53,45.3,4,20,20.0,28,73,38.4,19,28,67.9,18,23,41,15,17,23,14,11,2,3,80,2017/2018
Enea Astoria Bydgoszcz,2017-11-25 19:00:00,GKS Tychy,W,103:94,P,94,27,45,60.0,10,20,50.0,37,65,56.9,10,14,71.4,7,14,21,11,16,17,18,9,2,5,87,2017/2018
Enea Astoria Bydgoszcz,2017-12-02 19:00:00,Jamalex Polonia 1912 Leszno,W,82:67,P,67,21,53,39.6,4,18,22.2,25,71,35.2,13,19,68.4,14,22,36,6,20,20,18,6,2,8,47,2017/2018
Enea Astoria Bydgoszcz,2017-12-06 18:00:00,Elektrobud-Investment ZB Pruszków,D,75:82,P,75,24,46,52.2,6,29,20.7,30,75,40.0,9,11,81.8,12,25,37,18,20,15,11,9,5,6,86,2017/2018
Enea Astoria Bydgoszcz,2017-12-09 18:00:00,R8 Basket AZS Politechnika Kraków,W,75:59,P,59,23,51,45.1,2,21,9.5,25,72,34.7,7,14,50.0,14,27,41,15,16,20,12,3,1,3,53,2017/2018
Enea Astoria Bydgoszcz,2017-12-16 17:00:00,Sokół Łańcut,D,80:75,W,80,32,57,56.1,1,7,14.3,33,64,51.6,13,24,54.2,11,26,37,16,22,26,14,1,0,3,78,2017/2018
Enea Astoria Bydgoszcz,2017-12-20 19:00:00,WKS Śląsk Wrocław,W,89:71,P,71,19,44,43.2,5,11,45.5,24,55,43.6,18,30,60.0,7,22,29,17,16,25,18,6,3,5,65,2017/2018
Enea Astoria Bydgoszcz,2018-01-13 16:30:00,Polfarmex Kutno,W,65:63,P,63,24,53,45.3,0,6,0.0,24,59,40.7,15,16,93.8,10,23,33,4,24,18,13,4,1,3,56,2017/2018
Enea Astoria Bydgoszcz,2018-01-20 17:00:00,Zetkama Doral Nysa Kłodzko,D,89:90,P,89,24,48,50.0,6,15,40.0,30,63,47.6,23,37,62.2,11,22,33,20,23,28,18,10,1,1,88,2017/2018
Enea Astoria Bydgoszcz,2018-01-27 17:00:00,KK Warszawa,D,96:55,W,96,24,43,55.8,8,21,38.1,32,64,50.0,24,28,85.7,8,38,46,28,25,23,15,17,0,1,136,2017/2018
Enea Astoria Bydgoszcz,2018-01-31 18:30:00,Spójnia Stargard,D,76:88,P,76,24,45,53.3,4,13,30.8,28,58,48.3,16,23,69.6,9,21,30,18,17,20,22,9,3,4,77,2017/2018
Enea Astoria Bydgoszcz,2018-02-03 18:00:00,KSK Noteć Inowrocław,W,61:98,W,98,31,44,70.5,7,18,38.9,38,62,61.3,15,20,75.0,9,26,35,25,21,21,12,10,3,2,130,2017/2018
Enea Astoria Bydgoszcz,2018-02-10 17:00:00,Siarka Tarnobrzeg,D,87:74,W,87,26,44,59.1,5,11,45.5,31,55,56.4,20,38,52.6,6,28,34,18,18,29,15,9,2,6,93,2017/2018
Enea Astoria Bydgoszcz,2018-02-17 17:30:00,Pogoń Prudnik,W,83:90,W,90,26,47,55.3,7,13,53.8,33,60,55.0,17,22,77.3,5,24,29,22,23,22,10,7,3,3,109,2017/2018
Enea Astoria Bydgoszcz,2018-02-21 18:30:00,Energa Kotwica Kołobrzeg,D,96:80,W,96,28,45,62.2,8,22,36.4,36,67,53.7,16,20,80.0,6,27,33,21,21,24,11,10,5,2,119,2017/2018
Enea Astoria Bydgoszcz,2018-02-24 17:00:00,Biofarm Basket Poznań,W,83:62,P,62,20,41,48.8,3,15,20.0,23,56,41.1,13,20,65.0,6,23,29,14,21,19,15,8,3,4,61,2017/2018
Enea Astoria Bydgoszcz,2018-03-03 17:00:00,SKK Siedlce,D,87:75,W,87,19,42,45.2,7,22,31.8,26,64,40.6,28,38,73.7,14,31,45,18,17,31,23,10,2,3,91,2017/2018
Enea Astoria Bydgoszcz,2018-03-11 17:00:00,GKS Tychy,D,99:75,W,99,32,49,65.3,8,23,34.8,40,72,55.6,11,15,73.3,12,26,38,27,19,17,18,12,3,1,125,2017/2018
Enea Astoria Bydgoszcz,2018-03-17 17:00:00,Jamalex Polonia 1912 Leszno,D,89:79,W,89,26,37,70.3,5,15,33.3,31,52,59.6,22,29,75.9,5,20,25,22,19,21,21,14,1,1,102,2017/2018
Enea Astoria Bydgoszcz,2018-03-21 20:00:00,Elektrobud-Investment ZB Pruszków,W,85:69,P,69,19,44,43.2,6,21,28.6,25,65,38.5,13,21,61.9,12,16,28,17,23,23,20,21,2,2,69,2017/2018
Enea Astoria Bydgoszcz,2018-03-24 17:00:00,R8 Basket AZS Politechnika Kraków,D,81:86,P,81,23,39,59.0,9,22,40.9,32,61,52.5,8,12,66.7,7,19,26,22,20,15,15,7,2,1,90,2017/2018
Enea Astoria Bydgoszcz,2018-03-29 15:30:00,Sokół Łańcut,W,81:71,P,71,21,51,41.2,8,14,57.1,29,65,44.6,5,9,55.6,15,21,36,17,25,16,21,3,1,5,67,2017/2018
Enea Astoria Bydgoszcz,2018-04-08 18:00:00,WKS Śląsk Wrocław,D,73:71,W,73,27,56,48.2,3,9,33.3,30,65,46.2,10,14,71.4,2,30,32,17,18,19,12,9,2,4,82,2017/2018
Energa Kotwica Kołobrzeg,2017-09-23 18:00:00,Biofarm Basket Poznań,D,49:69,P,49,14,34,41.2,5,20,25.0,19,54,35.2,6,8,75.0,4,21,25,10,13,16,13,8,0,2,42,2017/2018
Energa Kotwica Kołobrzeg,2017-09-30 16:00:00,SKK Siedlce,W,63:69,W,69,23,44,52.3,5,19,26.3,28,63,44.4,8,9,88.9,5,30,35,19,19,15,13,6,0,6,80,2017/2018
Energa Kotwica Kołobrzeg,2017-10-07 19:00:00,GKS Tychy,D,89:81,W,89,18,25,72.0,11,29,37.9,29,54,53.7,20,30,66.7,10,34,44,21,25,24,13,3,3,2,112,2017/2018
Energa Kotwica Kołobrzeg,2017-10-09 19:00:00,Sokół Łańcut,D,77:85,P,77,23,45,51.1,9,22,40.9,32,67,47.8,4,5,80.0,5,26,31,24,21,15,12,4,0,3,88,2017/2018
Energa Kotwica Kołobrzeg,2017-10-13 20:00:00,Jamalex Polonia 1912 Leszno,W,92:75,P,75,20,33,60.6,8,19,42.1,28,52,53.8,11,13,84.6,3,21,24,14,16,18,17,2,0,0,72,2017/2018
Energa Kotwica Kołobrzeg,2017-10-18 18:00:00,Elektrobud-Investment ZB Pruszków,D,67:80,P,67,14,36,38.9,8,23,34.8,22,59,37.3,15,21,71.4,9,21,30,16,23,20,15,7,2,2,64,2017/2018
Energa Kotwica Kołobrzeg,2017-10-21 17:00:00,R8 Basket AZS Politechnika Kraków,W,87:62,P,62,23,41,56.1,3,15,20.0,26,56,46.4,7,11,63.6,9,23,32,23,11,17,19,4,0,2,68,2017/2018
Energa Kotwica Kołobrzeg,2017-11-04 18:00:00,WKS Śląsk Wrocław,W,73:74,W,74,21,49,42.9,7,23,30.4,28,72,38.9,11,15,73.3,9,26,35,15,15,16,9,9,0,7,76,2017/2018
Energa Kotwica Kołobrzeg,2017-11-08 19:00:00,Enea Astoria Bydgoszcz,D,83:80,W,83,20,38,52.6,10,23,43.5,30,61,49.2,13,17,76.5,4,20,24,20,25,23,14,11,3,0,92,2017/2018
Energa Kotwica Kołobrzeg,2017-11-11 17:30:00,Polfarmex Kutno,W,100:84,P,84,16,31,51.6,9,23,39.1,25,54,46.3,25,29,86.2,4,24,28,17,16,25,16,4,4,1,88,2017/2018
Energa Kotwica Kołobrzeg,2017-11-19 17:00:00,Zetkama Doral Nysa Kłodzko,D,60:63,P,60,17,33,51.5,7,22,31.8,24,55,43.6,5,14,35.7,4,20,24,15,18,19,14,16,1,3,62,2017/2018
Energa Kotwica Kołobrzeg,2017-11-26 18:00:00,KK Warszawa,W,71:76,W,76,19,32,59.4,7,18,38.9,26,50,52.0,17,20,85.0,6,26,32,11,17,17,24,6,1,2,75,2017/2018
Energa Kotwica Kołobrzeg,2017-12-02 18:00:00,Spójnia Stargard,D,82:89,P,82,23,48,47.9,9,21,42.9,32,69,46.4,9,21,42.9,15,20,35,18,15,18,9,7,0,3,84,2017/2018
Energa Kotwica Kołobrzeg,2017-12-06 18:00:00,KSK Noteć Inowrocław,W,73:89,W,89,25,45,55.6,8,23,34.8,33,68,48.5,15,26,57.7,17,24,41,16,18,20,19,13,3,3,97,2017/2018
Energa Kotwica Kołobrzeg,2017-12-09 18:00:00,Siarka Tarnobrzeg,D,85:76,W,85,25,49,51.0,10,27,37.0,35,76,46.1,5,7,71.4,10,29,39,22,21,10,12,9,6,2,106,2017/2018
Energa Kotwica Kołobrzeg,2017-12-16 17:30:00,Pogoń Prudnik,W,92:65,P,65,19,40,47.5,5,20,25.0,24,60,40.0,12,17,70.6,3,25,28,13,19,18,11,2,2,3,58,2017/2018
Energa Kotwica Kołobrzeg,2018-01-06 17:00:00,Biofarm Basket Poznań,W,85:81,P,81,18,40,45.0,9,22,40.9,27,62,43.5,18,20,90.0,6,28,34,18,22,22,16,9,1,4,90,2017/2018
Energa Kotwica Kołobrzeg,2018-01-14 17:00:00,SKK Siedlce,D,81:68,W,81,12,26,46.2,14,31,45.2,26,57,45.6,15,23,65.2,4,32,36,20,18,19,14,8,0,1,92,2017/2018
Energa Kotwica Kołobrzeg,2018-01-20 19:00:00,GKS Tychy,W,99:75,P,75,21,46,45.7,7,24,29.2,28,70,40.0,12,14,85.7,13,17,30,13,13,18,18,6,2,3,64,2017/2018
Energa Kotwica Kołobrzeg,2018-01-26 18:00:00,Jamalex Polonia 1912 Leszno,D,72:87,P,72,24,39,61.5,5,15,33.3,29,54,53.7,9,14,64.3,8,24,32,18,18,22,20,7,1,0,80,2017/2018
Energa Kotwica Kołobrzeg,2018-01-31 19:00:00,Elektrobud-Investment ZB Pruszków,W,88:81,P,81,20,40,50.0,8,25,32.0,28,65,43.1,17,24,70.8,9,23,32,17,21,20,14,11,1,5,84,2017/2018
Energa Kotwica Kołobrzeg,2018-02-03 17:00:00,R8 Basket AZS Politechnika Kraków,D,83:82,W,83,19,35,54.3,12,33,36.4,31,68,45.6,9,18,50.0,7,28,35,19,17,17,12,4,2,2,85,2017/2018
Energa Kotwica Kołobrzeg,2018-02-17 18:00:00,WKS Śląsk Wrocław,D,77:82,P,77,22,45,48.9,5,16,31.3,27,61,44.3,18,26,69.2,9,25,34,14,23,23,10,7,2,2,82,2017/2018
Energa Kotwica Kołobrzeg,2018-02-21 18:30:00,Enea Astoria Bydgoszcz,W,96:80,P,80,17,38,44.7,10,26,38.5,27,64,42.2,16,19,84.2,6,21,27,18,24,21,16,6,2,5,77,2017/2018
Energa Kotwica Kołobrzeg,2018-02-24 18:00:00,Polfarmex Kutno,D,58:77,P,58,18,37,48.6,4,17,23.5,22,54,40.7,10,15,66.7,4,29,33,15,20,12,20,7,1,0,57,2017/2018
Energa Kotwica Kołobrzeg,2018-03-07 19:30:00,Zetkama Doral Nysa Kłodzko,W,79:57,P,57,14,41,34.1,5,18,27.8,19,59,32.2,14,21,66.7,9,17,26,15,13,22,10,7,1,4,49,2017/2018
Energa Kotwica Kołobrzeg,2018-03-11 17:00:00,KK Warszawa,D,72:70,W,72,24,42,57.1,3,26,11.5,27,68,39.7,15,32,46.9,9,41,50,17,29,29,13,11,2,1,81,2017/2018
Energa Kotwica Kołobrzeg,2018-03-17 18:30:00,Spójnia Stargard,W,92:76,P,76,29,52,55.8,3,23,13.0,32,75,42.7,9,10,90.0,14,15,29,13,24,17,12,15,0,3,77,2017/2018
Energa Kotwica Kołobrzeg,2018-03-21 18:00:00,KSK Noteć Inowrocław,D,76:56,W,76,31,40,77.5,3,21,14.3,34,61,55.7,5,11,45.5,4,27,31,24,14,15,10,11,0,2,99,2017/2018
Energa Kotwica Kołobrzeg,2018-03-24 18:30:00,Siarka Tarnobrzeg,W,75:86,W,86,25,42,59.5,9,18,50.0,34,60,56.7,9,13,69.2,7,29,36,21,15,16,15,7,0,3,105,2017/2018
Energa Kotwica Kołobrzeg,2018-03-26 17:00:00,Sokół Łańcut,W,76:62,P,62,18,36,50.0,4,21,19.0,22,57,38.6,14,23,60.9,7,27,34,15,25,18,14,6,0,0,59,2017/2018
Energa Kotwica Kołobrzeg,2018-03-30 18:30:00,Pogoń Prudnik,D,88:67,W,88,20,40,50.0,13,28,46.4,33,68,48.5,9,14,64.3,8,23,31,29,23,17,12,20,0,5,116,2017/2018
Energa Kotwica Kołobrzeg,2018-04-13 18:00:00,KK Warszawa,D,76:64,W,76,25,38,65.8,6,28,21.4,31,66,47.0,8,14,57.1,8,15,23,20,16,17,4,8,1,1,83,2017/2018
Energa Kotwica Kołobrzeg,2018-04-14 20:00:00,KK Warszawa,D,66:72,P,66,15,29,51.7,8,27,29.6,23,56,41.1,12,15,80.0,8,25,33,17,23,19,12,10,1,1,79,2017/2018
Energa Kotwica Kołobrzeg,2018-04-21 14:30:00,KK Warszawa,W,68:80,W,80,20,39,51.3,10,22,45.5,30,61,49.2,10,16,62.5,9,26,35,15,24,16,19,5,2,1,81,2017/2018
Energa Kotwica Kołobrzeg,2018-04-22 18:00:00,KK Warszawa,W,90:92,W,92,25,47,53.2,12,32,37.5,37,79,46.8,6,10,60.0,13,28,41,25,19,16,17,10,5,3,110,2017/2018
GKS Tychy,2017-09-23 18:00:00,Siarka Tarnobrzeg,W,72:81,W,81,25,40,62.5,4,16,25.0,29,56,51.8,19,23,82.6,7,25,32,11,18,25,14,13,2,1,94,2017/2018
GKS Tychy,2017-09-30 19:00:00,Pogoń Prudnik,D,103:76,W,103,25,42,59.5,11,25,44.0,36,67,53.7,20,25,80.0,8,32,40,27,19,20,10,7,4,2,135,2017/2018
GKS Tychy,2017-10-07 19:00:00,Energa Kotwica Kołobrzeg,W,89:81,P,81,20,37,54.1,10,32,31.3,30,69,43.5,11,19,57.9,11,19,30,12,24,24,7,7,2,3,78,2017/2018
GKS Tychy,2017-10-14 19:00:00,Biofarm Basket Poznań,D,95:91,W,95,24,47,51.1,7,19,36.8,31,66,47.0,26,33,78.8,13,22,35,16,21,28,8,9,0,2,105,2017/2018
GKS Tychy,2017-10-18 18:00:00,SKK Siedlce,W,90:97,W,97,22,40,55.0,8,21,38.1,30,61,49.2,29,33,87.9,8,18,26,23,20,26,9,10,4,1,116,2017/2018
GKS Tychy,2017-10-28 18:00:00,Jamalex Polonia 1912 Leszno,D,85:108,P,85,16,28,57.1,11,27,40.7,27,55,49.1,20,26,76.9,4,19,23,18,26,24,17,6,2,3,83,2017/2018
GKS Tychy,2017-11-04 18:00:00,Elektrobud-Investment ZB Pruszków,W,92:71,P,71,16,30,53.3,8,20,40.0,24,50,48.0,17,27,63.0,5,14,19,14,22,23,22,10,0,2,56,2017/2018
GKS Tychy,2017-11-08 19:00:00,R8 Basket AZS Politechnika Kraków,D,91:96,P,91,20,36,55.6,11,31,35.5,31,67,46.3,18,21,85.7,14,20,34,13,23,23,14,5,0,4,90,2017/2018
GKS Tychy,2017-11-11 17:30:00,Sokół Łańcut,W,81:74,P,74,17,51,33.3,9,19,47.4,26,70,37.1,13,16,81.3,13,21,34,13,25,19,10,7,1,7,72,2017/2018
GKS Tychy,2017-11-18 19:00:00,WKS Śląsk Wrocław,D,96:88,W,96,26,45,57.8,8,26,30.8,34,71,47.9,20,22,90.9,13,24,37,21,19,19,9,7,2,3,115,2017/2018
GKS Tychy,2017-11-25 19:00:00,Enea Astoria Bydgoszcz,D,103:94,W,103,29,40,72.5,12,27,44.4,41,67,61.2,9,13,69.2,9,18,27,20,17,16,19,12,5,2,118,2017/2018
GKS Tychy,2017-12-02 18:00:00,Polfarmex Kutno,D,80:93,P,80,14,24,58.3,9,28,32.1,23,52,44.2,25,27,92.6,5,22,27,14,21,21,13,8,2,0,87,2017/2018
GKS Tychy,2017-12-06 19:30:00,Zetkama Doral Nysa Kłodzko,W,59:56,P,56,12,30,40.0,8,30,26.7,20,60,33.3,8,16,50.0,11,26,37,14,19,14,13,2,0,8,48,2017/2018
GKS Tychy,2017-12-09 18:00:00,KK Warszawa,D,83:73,W,83,17,25,68.0,12,25,48.0,29,50,58.0,13,16,81.3,4,27,31,21,19,15,21,9,2,0,101,2017/2018
GKS Tychy,2017-12-16 18:00:00,Spójnia Stargard,W,102:74,P,74,20,32,62.5,5,26,19.2,25,58,43.1,19,27,70.4,9,13,22,13,23,24,14,7,2,0,63,2017/2018
GKS Tychy,2017-12-22 18:00:00,KSK Noteć Inowrocław,D,104:62,W,104,29,46,63.0,12,21,57.1,41,67,61.2,10,13,76.9,8,26,34,26,17,14,9,7,1,2,134,2017/2018
GKS Tychy,2018-01-06 18:00:00,Siarka Tarnobrzeg,D,91:70,W,91,24,37,64.9,9,28,32.1,33,65,50.8,16,19,84.2,8,21,29,24,21,21,12,8,1,4,106,2017/2018
GKS Tychy,2018-01-13 17:30:00,Pogoń Prudnik,W,86:91,W,91,23,40,57.5,7,24,29.2,30,64,46.9,24,27,88.9,11,24,35,12,25,24,13,5,1,2,94,2017/2018
GKS Tychy,2018-01-20 19:00:00,Energa Kotwica Kołobrzeg,D,99:75,W,99,31,44,70.5,11,29,37.9,42,73,57.5,4,6,66.7,9,27,36,21,19,13,13,13,3,2,126,2017/2018
GKS Tychy,2018-01-27 17:00:00,Biofarm Basket Poznań,W,87:93,W,93,18,33,54.5,9,23,39.1,27,56,48.2,30,34,88.2,12,27,39,10,24,24,26,9,1,2,93,2017/2018
GKS Tychy,2018-01-31 19:00:00,SKK Siedlce,D,96:76,W,96,22,34,64.7,12,36,33.3,34,70,48.6,16,20,80.0,9,26,35,21,22,22,15,11,2,1,110,2017/2018
GKS Tychy,2018-02-11 19:30:00,Jamalex Polonia 1912 Leszno,W,90:83,P,83,17,33,51.5,11,29,37.9,28,62,45.2,16,19,84.2,6,18,24,14,23,21,13,10,1,1,82,2017/2018
GKS Tychy,2018-02-17 18:00:00,Elektrobud-Investment ZB Pruszków,D,104:97,W,104,19,39,48.7,9,25,36.0,28,64,43.8,39,41,95.1,8,17,25,17,26,31,11,9,0,2,106,2017/2018
GKS Tychy,2018-02-21 19:00:00,R8 Basket AZS Politechnika Kraków,W,81:83,W,83,25,39,64.1,6,21,28.6,31,60,51.7,15,22,68.2,7,28,35,18,18,22,10,5,0,1,95,2017/2018
GKS Tychy,2018-02-24 19:00:00,Sokół Łańcut,D,104:83,W,104,22,33,66.7,17,34,50.0,39,67,58.2,9,9,100.0,7,23,30,25,20,11,13,9,0,2,127,2017/2018
GKS Tychy,2018-03-04 20:30:00,WKS Śląsk Wrocław,W,94:86,P,86,16,33,48.5,8,18,44.4,24,51,47.1,30,45,66.7,4,19,23,10,24,32,11,4,2,3,72,2017/2018
GKS Tychy,2018-03-11 17:00:00,Enea Astoria Bydgoszcz,W,99:75,P,75,21,38,55.3,5,24,20.8,26,62,41.9,18,21,85.7,5,17,22,23,19,18,18,11,1,3,75,2017/2018
GKS Tychy,2018-03-17 17:30:00,Polfarmex Kutno,W,64:79,W,79,16,37,43.2,8,23,34.8,24,60,40.0,23,30,76.7,12,23,35,15,17,26,13,4,3,3,80,2017/2018
GKS Tychy,2018-03-21 19:00:00,Zetkama Doral Nysa Kłodzko,D,102:79,W,102,17,24,70.8,18,31,58.1,35,55,63.6,14,16,87.5,5,18,23,15,21,22,14,8,1,3,113,2017/2018
GKS Tychy,2018-03-25 15:00:00,KK Warszawa,W,78:100,W,100,29,39,74.4,6,22,27.3,35,61,57.4,24,27,88.9,6,28,34,22,17,21,15,9,1,2,122,2017/2018
GKS Tychy,2018-03-29 18:00:00,Spójnia Stargard,D,100:91,W,100,28,44,63.6,10,26,38.5,38,70,54.3,14,16,87.5,11,18,29,23,22,16,10,5,2,3,115,2017/2018
GKS Tychy,2018-04-08 18:00:00,KSK Noteć Inowrocław,W,72:78,W,78,20,29,69.0,7,24,29.2,27,53,50.9,17,23,73.9,12,32,44,12,25,24,26,6,3,2,85,2017/2018
