TEAM,DATE,OPPONENT,HOME(D)/AWAY(W),RESULT,WIN(W)/LOST(P),PTS,2PM,2PA,2P%,3PM,3PA,3P%,SM,SA,S%,FTM,FTA,FT%,OREB,DREB,TREB,AST,PF,FF,TOV,STL,BLK,RBLK,EVAL,YEAR
GKS Tychy,2022-11-16 18:00:00,HydroTruck Radom,D,98:96,W,98,20,43,46.5,14,32,43.8,34,75,45.3,16,20,80.0,18,20,38,23,24,21,13,6,0,2,107,2022/2023
GKS Tychy,2022-11-19 18:00:00,BS Polonia Bytom,W,81:71,P,71,19,41,46.3,8,21,38.1,27,62,43.5,9,20,45.0,15,29,44,8,25,22,20,2,1,0,60,2022/2023
GKS Tychy,2022-11-26 20:00:00,Enea Basket Poznań,D,102:94,W,102,22,41,53.7,9,27,33.3,31,68,45.6,31,38,81.6,7,30,37,19,28,32,20,5,4,2,103,2022/2023
GKS Tychy,2022-12-03 15:00:00,WKK Wrocław,W,65:77,W,77,20,35,57.1,8,28,28.6,28,63,44.4,13,17,76.5,11,29,40,15,19,15,16,11,1,2,89,2022/2023
GKS Tychy,2022-12-10 20:00:00,AZS AGH Kraków,D,94:73,W,94,34,46,73.9,3,11,27.3,37,57,64.9,17,19,89.5,5,32,37,26,22,18,18,5,2,1,124,2022/2023
GKS Tychy,2022-12-15 18:00:00,Start II Lublin,W,51:76,W,76,18,39,46.2,10,22,45.5,28,61,45.9,10,16,62.5,10,38,48,18,23,17,18,7,5,4,97,2022/2023
GKS Tychy,2022-12-18 19:00:00,Górnik Trans.eu Zamek Książ Wałbrzych,D,88:68,W,88,27,48,56.3,5,16,31.3,32,64,50.0,19,23,82.6,4,32,36,22,16,18,7,6,2,5,111,2022/2023
GKS Tychy,2022-12-30 18:00:00,Weegree AZS Politechnika Opolska,W,88:73,P,73,15,36,41.7,7,19,36.8,22,55,40.0,22,25,88.0,5,24,29,11,19,27,15,6,1,1,69,2022/2023
GKS Tychy,2023-01-08 20:00:00,KKS Polonia Warszawa,W,64:58,P,58,14,40,35.0,7,26,26.9,21,66,31.8,9,14,64.3,11,23,34,14,25,17,15,8,1,1,50,2022/2023
GKS Tychy,2023-01-14 15:00:00,PGE Turów Zgorzelec,D,66:76,P,66,22,47,46.8,1,18,5.6,23,65,35.4,19,26,73.1,14,27,41,16,20,23,15,7,4,5,70,2022/2023
GKS Tychy,2023-01-18 18:00:00,MKKS Żak Koszalin,W,79:80,W,80,25,44,56.8,7,19,36.8,32,63,50.8,9,18,50.0,8,28,36,14,23,20,15,4,0,2,79,2022/2023
GKS Tychy,2023-01-21 16:00:00,SKS Starogard Gdański,W,85:84,P,84,25,41,61.0,7,25,28.0,32,66,48.5,13,17,76.5,7,27,34,16,25,21,13,9,1,3,93,2022/2023
GKS Tychy,2023-01-28 15:00:00,Decka Pelplin,D,81:48,W,81,24,48,50.0,6,20,30.0,30,68,44.1,15,17,88.2,9,31,40,17,18,19,9,11,3,3,103,2022/2023
GKS Tychy,2023-02-05 18:00:00,Miasto Szkła Krosno,W,66:72,W,72,17,36,47.2,7,25,28.0,24,61,39.3,17,22,77.3,12,23,35,9,13,23,13,10,2,2,73,2022/2023
GKS Tychy,2023-02-08 19:00:00,WKS Śląsk II Wrocław,D,72:80,P,72,21,48,43.8,3,19,15.8,24,67,35.8,21,31,67.7,16,21,37,17,26,25,10,8,2,3,73,2022/2023
GKS Tychy,2023-02-11 18:00:00,Sensation Kotwica Kołobrzeg,W,82:83,W,83,16,38,42.1,12,23,52.2,28,61,45.9,15,22,68.2,8,21,29,15,18,19,8,7,0,1,86,2022/2023
GKS Tychy,2023-02-18 18:00:00,Dziki Warszawa,D,72:66,W,72,14,37,37.8,9,19,47.4,23,56,41.1,17,22,77.3,8,27,35,18,23,24,13,3,2,2,79,2022/2023
GKS Tychy,2023-02-24 18:00:00,HydroTruck Radom,W,79:69,P,69,12,25,48.0,9,28,32.1,21,53,39.6,18,21,85.7,1,24,25,14,22,25,20,7,2,1,62,2022/2023
GKS Tychy,2023-03-01 18:00:00,BS Polonia Bytom,D,96:87,W,96,22,37,59.5,10,25,40.0,32,62,51.6,22,31,71.0,8,36,44,18,21,23,14,1,6,3,112,2022/2023
GKS Tychy,2023-03-04 15:00:00,Enea Basket Poznań,W,81:65,P,65,15,35,42.9,7,28,25.0,22,63,34.9,14,21,66.7,12,22,34,16,23,23,13,8,0,2,62,2022/2023
GKS Tychy,2023-03-11 20:00:00,WKK Wrocław,D,89:91,P,89,22,46,47.8,10,29,34.5,32,75,42.7,15,15,100.0,15,29,44,19,31,18,16,7,1,3,101,2022/2023
GKS Tychy,2023-03-18 15:00:00,AZS AGH Kraków,W,77:91,W,91,23,43,53.5,6,20,30.0,29,63,46.0,27,35,77.1,13,22,35,24,22,26,13,3,1,4,99,2022/2023
GKS Tychy,2023-03-25 15:00:00,Start II Lublin,D,110:63,W,110,38,52,73.1,9,19,47.4,47,71,66.2,7,8,87.5,12,30,42,33,15,15,17,13,5,1,161,2022/2023
GKS Tychy,2023-04-01 20:00:00,Górnik Trans.eu Zamek Książ Wałbrzych,W,77:60,P,60,12,32,37.5,7,25,28.0,19,57,33.3,15,29,51.7,15,29,44,10,30,24,23,5,0,2,44,2022/2023
GKS Tychy,2023-04-05 18:00:00,Weegree AZS Politechnika Opolska,D,85:82,W,85,18,30,60.0,8,21,38.1,26,51,51.0,25,34,73.5,6,23,29,19,28,31,19,7,3,0,90,2022/2023
GKS Tychy,2023-04-15 20:00:00,SKS Starogard Gdański,D,73:94,P,73,17,31,54.8,5,27,18.5,22,58,37.9,24,32,75.0,4,27,31,14,25,26,10,8,2,2,74,2022/2023
GKS Tychy,2023-04-16 20:00:00,SKS Starogard Gdański,D,69:56,W,69,17,41,41.5,4,15,26.7,21,56,37.5,23,28,82.1,7,24,31,13,20,27,14,11,3,5,73,2022/2023
GKS Tychy,2023-04-22 18:00:00,SKS Starogard Gdański,W,108:76,P,76,17,43,39.5,7,25,28.0,24,68,35.3,21,36,58.3,17,21,38,13,21,26,19,7,3,6,59,2022/2023
GKS Tychy,2023-04-23 18:00:00,SKS Starogard Gdański,W,88:69,P,69,10,36,27.8,8,29,27.6,18,65,27.7,25,26,96.2,7,19,26,13,26,24,10,8,1,1,59,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2022-09-24 18:00:00,Decka Pelplin,W,68:89,W,89,16,35,45.7,14,27,51.9,30,62,48.4,15,18,83.3,8,24,32,26,21,19,10,5,2,1,109,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2022-10-01 18:00:00,Miasto Szkła Krosno,D,92:68,W,92,27,47,57.4,8,29,27.6,35,76,46.1,14,22,63.6,14,23,37,21,20,22,5,10,6,1,112,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2022-10-09 18:00:00,WKS Śląsk II Wrocław,W,75:58,P,58,17,47,36.2,3,20,15.0,20,67,29.9,15,24,62.5,18,22,40,9,19,19,8,2,6,6,51,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2022-10-15 18:00:00,Sensation Kotwica Kołobrzeg,D,84:81,W,84,9,27,33.3,14,33,42.4,23,60,38.3,24,30,80.0,9,29,38,18,17,23,14,5,5,1,93,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2022-10-23 15:00:00,Dziki Warszawa,W,76:72,P,72,16,36,44.4,11,28,39.3,27,64,42.2,7,14,50.0,11,20,31,23,22,17,9,2,2,1,77,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2022-10-30 18:00:00,HydroTruck Radom,D,65:78,P,65,14,36,38.9,5,29,17.2,19,65,29.2,22,29,75.9,11,25,36,16,12,22,8,9,2,4,67,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2022-11-02 16:00:00,BS Polonia Bytom,W,65:85,W,85,23,45,51.1,11,30,36.7,34,75,45.3,6,7,85.7,11,25,36,18,22,12,7,10,2,3,102,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2022-11-06 18:00:00,Enea Basket Poznań,D,87:81,W,87,18,32,56.3,12,27,44.4,30,59,50.8,15,21,71.4,10,25,35,21,20,21,21,5,2,2,94,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2022-11-13 18:00:00,WKK Wrocław,D,76:74,W,76,18,38,47.4,8,25,32.0,26,63,41.3,16,18,88.9,5,36,41,18,27,17,15,11,4,1,96,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2022-11-16 19:00:00,AZS AGH Kraków,D,86:70,W,86,29,47,61.7,6,17,35.3,35,64,54.7,10,22,45.5,10,21,31,29,22,18,12,9,2,1,104,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2022-11-19 13:00:00,Start II Lublin,W,62:114,W,114,42,57,73.7,8,31,25.8,50,88,56.8,6,7,85.7,13,32,45,31,17,12,11,16,6,1,162,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2022-11-26 18:00:00,MKKS Żak Koszalin,W,96:94,P,94,24,42,57.1,10,23,43.5,34,65,52.3,16,25,64.0,10,27,37,24,24,17,15,8,4,0,112,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2022-12-03 18:00:00,Weegree AZS Politechnika Opolska,D,86:77,W,86,23,39,59.0,10,20,50.0,33,59,55.9,10,22,45.5,5,28,33,19,17,20,9,7,1,2,99,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2022-12-09 20:00:00,KKS Polonia Warszawa,W,88:90,W,90,19,36,52.8,11,26,42.3,30,62,48.4,19,26,73.1,5,21,26,23,20,24,13,8,0,2,95,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2022-12-14 19:00:00,PGE Turów Zgorzelec,W,66:84,W,84,28,43,65.1,8,25,32.0,36,68,52.9,4,6,66.7,8,27,35,21,18,10,12,12,3,1,109,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2022-12-18 19:00:00,GKS Tychy,W,88:68,P,68,23,49,46.9,4,25,16.0,27,74,36.5,10,13,76.9,15,26,41,12,18,15,14,5,5,2,67,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-01-04 17:00:00,SKS Starogard Gdański,D,78:66,W,78,22,56,39.3,7,23,30.4,29,79,36.7,13,17,76.5,18,25,43,22,23,14,4,10,5,1,100,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-01-08 18:00:00,Decka Pelplin,D,72:60,W,72,20,42,47.6,6,21,28.6,26,63,41.3,14,19,73.7,10,38,48,20,23,20,16,10,2,3,94,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-01-15 18:00:00,Miasto Szkła Krosno,W,95:93,P,93,27,44,61.4,4,20,20.0,31,64,48.4,27,36,75.0,8,29,37,21,26,25,17,11,3,1,106,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-01-18 19:00:00,WKS Śląsk II Wrocław,D,77:75,W,77,19,38,50.0,5,20,25.0,24,58,41.4,24,33,72.7,15,24,39,18,24,25,12,10,6,2,95,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-01-22 20:00:00,Sensation Kotwica Kołobrzeg,W,72:85,W,85,22,37,59.5,8,21,38.1,30,58,51.7,17,26,65.4,4,29,33,17,19,24,14,10,5,1,99,2022/2023
