2023-02-26 18:00,Górnik Trans.eu Zamek Książ Wałbrzych(d),88 : 95P,88,18,39,46.2,12,37,32.4,30,76,39.5,16,18,88.9,9,22,31,25,22,20,13,7,2,5,92,AZS AGH Kraków,Sezon 2022/2023
2023-03-01 17:00,Weegree AZS Politechnika Opolska(w),90 : 84P,84,16,31,51.6,13,31,41.9,29,62,46.8,13,20,65.0,5,21,26,20,24,23,13,8,0,2,85,AZS AGH Kraków,Sezon 2022/2023
2023-03-04 15:00,KKS Polonia Warszawa(d),71 : 79P,71,15,35,42.9,11,32,34.4,26,67,38.8,8,19,42.1,8,16,24,21,24,19,8,11,0,3,67,AZS AGH Kraków,Sezon 2022/2023
2023-03-08 18:00,Start II Lublin(w),64 : 106W,106,25,39,64.1,14,35,40.0,39,74,52.7,14,19,73.7,11,19,30,31,16,16,12,14,2,2,131,AZS AGH Kraków,Sezon 2022/2023
2023-03-12 18:00,PGE Turów Zgorzelec(w),69 : 78W,78,19,42,45.2,8,25,32.0,27,67,40.3,16,21,76.2,12,33,45,22,23,25,11,5,4,2,98,AZS AGH Kraków,Sezon 2022/2023
2023-03-18 15:00,GKS Tychy(d),77 : 91P,77,18,33,54.5,9,23,39.1,27,56,48.2,14,28,50.0,6,21,27,23,26,22,13,6,4,1,81,AZS AGH Kraków,Sezon 2022/2023
2023-03-25 18:00,SKS Starogard Gdański(w),88 : 83P,83,18,44,40.9,11,36,30.6,29,80,36.3,14,27,51.9,18,22,40,14,26,20,14,13,3,6,75,AZS AGH Kraków,Sezon 2022/2023
2023-04-01 18:00,Decka Pelplin(d),84 : 88P,84,16,37,43.2,13,36,36.1,29,73,39.7,13,22,59.1,15,19,34,12,27,23,10,9,6,4,82,AZS AGH Kraków,Sezon 2022/2023
2023-04-05 18:00,Miasto Szkła Krosno(w),68 : 82W,82,13,24,54.2,15,41,36.6,28,65,43.1,11,18,61.1,8,24,32,22,19,21,9,6,3,2,92,AZS AGH Kraków,Sezon 2022/2023
2022-09-24 17:00,HydroTruck Radom(w),99 : 91P,91,22,45,48.9,9,23,39.1,31,68,45.6,20,32,62.5,8,27,35,15,12,24,9,7,6,5,96,BS Polonia Bytom ,Sezon 2022/2023
2022-10-01 20:00,MKKS Żak Koszalin(w),94 : 74P,74,18,35,51.4,9,31,29.0,27,66,40.9,11,15,73.3,9,17,26,11,17,21,23,8,2,2,55,BS Polonia Bytom ,Sezon 2022/2023
2022-10-08 20:00,Enea Basket Poznań(w),83 : 71P,71,20,34,58.8,8,31,25.8,28,65,43.1,7,14,50.0,14,22,36,19,15,19,17,6,1,1,72,BS Polonia Bytom ,Sezon 2022/2023
2022-10-16 18:00,WKK Wrocław(w),96 : 62P,62,19,45,42.2,5,14,35.7,24,59,40.7,9,14,64.3,10,28,38,11,18,18,22,8,1,5,58,BS Polonia Bytom ,Sezon 2022/2023
2022-10-21 18:00,AZS AGH Kraków(d),77 : 88P,77,25,44,56.8,7,21,33.3,32,65,49.2,6,11,54.5,10,21,31,18,17,20,10,6,1,1,85,BS Polonia Bytom ,Sezon 2022/2023
2022-10-30 14:00,Start II Lublin(w),55 : 115W,115,34,55,61.8,11,26,42.3,45,81,55.6,14,21,66.7,16,41,57,28,20,20,14,13,3,1,159,BS Polonia Bytom ,Sezon 2022/2023
2022-11-02 16:00,Górnik Trans.eu Zamek Książ Wałbrzych(d),65 : 85P,65,14,36,38.9,8,22,36.4,22,58,37.9,13,21,61.9,9,26,35,14,12,22,17,3,3,2,59,BS Polonia Bytom ,Sezon 2022/2023
2022-11-06 18:00,Weegree AZS Politechnika Opolska(w),87 : 79P,79,16,30,53.3,12,38,31.6,28,68,41.2,11,12,91.7,9,15,24,17,24,14,12,4,2,3,73,BS Polonia Bytom ,Sezon 2022/2023
2022-11-12 20:00,KKS Polonia Warszawa(w),85 : 75P,75,25,54,46.3,4,15,26.7,29,69,42.0,13,19,68.4,8,23,31,13,18,22,10,7,2,7,72,BS Polonia Bytom ,Sezon 2022/2023
2022-11-16 17:00,PGE Turów Zgorzelec(w),97 : 80P,80,22,41,53.7,5,20,25.0,27,61,44.3,21,28,75.0,8,20,28,19,21,24,14,6,3,1,81,BS Polonia Bytom ,Sezon 2022/2023
2022-11-19 18:00,GKS Tychy(d),81 : 71W,81,14,26,53.8,13,32,40.6,27,58,46.6,14,26,53.8,4,24,28,13,22,25,11,8,0,1,76,BS Polonia Bytom ,Sezon 2022/2023
2022-11-27 15:00,SKS Starogard Gdański(w),97 : 87P,87,21,39,53.8,12,30,40.0,33,69,47.8,9,12,75.0,9,14,23,15,19,17,13,16,4,4,93,BS Polonia Bytom ,Sezon 2022/2023
2022-12-04 15:00,Decka Pelplin(w),83 : 72P,72,22,45,48.9,5,25,20.0,27,70,38.6,13,18,72.2,10,24,34,15,22,23,16,10,1,6,68,BS Polonia Bytom ,Sezon 2022/2023
2022-12-11 18:00,Miasto Szkła Krosno(w),70 : 82W,82,21,47,44.7,9,23,39.1,30,70,42.9,13,17,76.5,10,22,32,14,13,19,12,13,3,5,88,BS Polonia Bytom ,Sezon 2022/2023
2022-12-14 18:00,WKS Śląsk II Wrocław(d),61 : 78P,61,17,41,41.5,5,22,22.7,22,63,34.9,12,19,63.2,9,24,33,11,25,18,11,9,3,1,58,BS Polonia Bytom ,Sezon 2022/2023
