Przeciwnicy,33,71.5,20.3,39.3,51.5,6.6,20.7,31.8,26.9,60.0,44.7,11.2,15.4,72.6,7.85,24.09,31.94,15.6,20.21,17.03,14.2,8.30,2.39,2.97,78.1,,Sezon 2010/2011,GKS Tychy
Enea Astoria Bydgoszcz,34,69.4,20.4,42.8,47.7,5.5,19.9,27.6,25.9,62.8,41.3,12.0,21.1,57.0,11.35,21.32,32.68,11.2,23.53,21.68,14.8,8.88,1.88,3.03,63.3,,Sezon 2010/2011,KPSW Astoria Bydgoszcz
Przeciwnicy,34,77.9,20.9,39.8,52.5,6.6,18.9,35.0,27.5,58.7,46.9,16.3,24.2,67.2,9.21,23.91,33.12,15.9,21.71,23.35,13.9,9.59,3.09,1.88,86.6,,Sezon 2010/2011,KPSW Astoria Bydgoszcz
KS Spójnia Stargard,32,67.9,16.9,37.9,44.6,7.3,22.9,31.7,24.1,60.8,39.7,12.4,18.9,65.9,11.13,23.16,34.28,14.0,21.69,20.44,15.3,10.81,2.72,2.66,71.4,,Sezon 2010/2011,KS Spójnia Stargard Szczeciński
Przeciwnicy,32,65.3,16.6,36.8,45.2,5.9,18.9,31.1,22.5,55.7,40.4,14.5,21.1,68.8,8.38,23.00,31.38,12.9,20.81,21.50,16.3,9.94,2.75,2.63,66.3,,Sezon 2010/2011,KS Spójnia Stargard Szczeciński
ŁKS Łódź,39,74.3,18.9,37.4,50.5,7.5,23.4,32.2,26.4,60.8,43.5,13.9,21.0,66.2,9.95,23.92,33.87,15.5,21.74,21.21,13.5,9.77,1.54,1.97,80.1,,Sezon 2010/2011,ŁKS Sphinx Łódź
Przeciwnicy,39,68.0,17.5,37.4,46.8,6.4,20.0,31.8,23.9,57.4,41.6,13.9,19.9,70.0,7.92,22.67,30.59,12.0,21.49,21.54,14.3,9.26,2.00,1.51,68.1,,Sezon 2010/2011,ŁKS Sphinx Łódź
MKS Dąbrowa Górnicza II,40,73.5,20.7,39.6,52.2,6.2,20.1,30.8,26.9,59.7,45.0,13.6,20.4,66.5,9.13,24.20,33.33,15.9,21.65,21.60,13.9,7.93,3.30,2.35,80.3,,Sezon 2010/2011,MKS Dąbrowa Górnicza
Przeciwnicy,40,70.5,19.0,40.4,46.9,6.2,18.8,33.1,25.2,59.1,42.5,14.0,21.1,66.4,8.90,22.20,31.10,12.8,21.88,21.55,13.7,9.15,2.40,3.23,71.2,,Sezon 2010/2011,MKS Dąbrowa Górnicza
Polski Cukier Start Lublin,35,67.4,16.9,36.9,45.6,6.0,19.9,30.2,22.9,56.8,40.2,15.7,21.7,72.3,7.60,23.51,31.11,11.9,19.51,20.29,14.7,7.94,2.11,2.57,65.8,,Sezon 2010/2011,MKS Start Lublin
